               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11232,            0.040353,            0.023931,            0.086796,            0.063863,            0.047885,            0.011772,            0.090312,            0.036517,             0.01563,            0.070698,           0.0032558,           0.0032558
                   1,            0.082765,            0.040855,            0.015317,             0.63767,             0.19782,             0.10178,            0.028191,            0.081922,            0.028778,            0.013573,            0.040632,           0.0065239,           0.0065239
                   2,            0.076219,            0.035746,            0.013959,             0.67173,             0.24812,             0.14924,            0.042919,            0.068568,            0.024357,            0.012913,            0.010501,            0.009726,            0.009726
                   3,            0.069922,            0.032217,            0.013383,             0.71288,             0.24922,             0.24136,            0.093446,            0.064859,            0.023235,             0.01183,            0.009703,            0.009703,            0.009703
                   4,            0.062679,            0.031513,            0.012052,             0.54044,             0.55714,              0.5288,              0.1763,            0.048815,            0.021863,           0.0091985,            0.009703,            0.009703,            0.009703
                   5,            0.058008,            0.030764,           0.0097995,              0.5116,             0.58546,             0.51317,             0.21238,            0.050486,            0.020954,           0.0074776,            0.009604,            0.009604,            0.009604
                   6,            0.052879,            0.028897,           0.0078286,             0.59221,              0.6192,             0.56421,             0.25177,             0.04609,            0.020792,           0.0066285,            0.009505,            0.009505,            0.009505
                   7,            0.049032,            0.028213,           0.0063703,             0.70484,             0.70134,             0.73922,             0.34866,            0.043224,            0.020243,           0.0057092,            0.009406,            0.009406,            0.009406
                   8,            0.047335,             0.02732,            0.005939,             0.60295,              0.6752,             0.64342,             0.30547,            0.045973,            0.019981,           0.0051104,            0.009307,            0.009307,            0.009307
                   9,            0.046034,            0.026209,           0.0051238,             0.81879,             0.65076,             0.74228,             0.34068,            0.037687,            0.019686,           0.0055317,            0.009208,            0.009208,            0.009208
                  10,            0.043756,            0.025026,           0.0043512,             0.83582,             0.69987,             0.77427,             0.38884,            0.039067,            0.019515,           0.0074991,            0.009109,            0.009109,            0.009109
