               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028115,            0.020434,           0.0013579,             0.88223,             0.83407,             0.89079,             0.55201,             0.02699,            0.016985,           0.0020298,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02915,            0.020171,             0.00161,              0.8674,             0.81149,             0.88085,              0.5557,            0.026966,             0.01675,           0.0029193,            0.008218,            0.008218,            0.008218
                  38,            0.028364,            0.020274,           0.0013553,             0.91237,              0.8023,             0.89718,             0.55512,            0.027615,            0.016987,           0.0022578,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028404,            0.020094,           0.0016141,             0.89512,             0.84723,              0.8839,             0.53899,            0.026553,            0.017105,           0.0029429,            0.008119,            0.008119,            0.008119
                  40,            0.027392,             0.01979,           0.0015514,             0.88364,             0.81702,             0.89699,             0.57204,             0.02505,            0.016653,           0.0022093,           0.0080695,           0.0080695,           0.0080695
                  41,             0.02825,            0.019773,           0.0016087,             0.89443,             0.85104,             0.90965,             0.57049,              0.0262,             0.01676,           0.0025257,             0.00802,             0.00802,             0.00802
                  42,            0.028367,            0.020037,           0.0013672,             0.91702,             0.82625,             0.90893,             0.58074,            0.026823,            0.017241,           0.0021761,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027495,            0.019821,           0.0017656,             0.88565,             0.84302,             0.88595,             0.57904,            0.025212,            0.017137,            0.002808,            0.007921,            0.007921,            0.007921
                  44,            0.027207,            0.020122,           0.0013613,             0.90356,             0.82169,             0.88813,             0.57582,            0.024821,            0.017116,            0.001933,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027515,            0.020807,           0.0014505,             0.89247,             0.84001,             0.88997,              0.5599,            0.025539,            0.016978,           0.0018768,            0.007822,            0.007822,            0.007822
                  46,            0.027441,            0.020416,            0.001295,             0.91854,              0.8304,             0.90581,             0.57492,            0.025961,            0.017101,           0.0018779,           0.0077725,           0.0077725,           0.0077725
                  47,            0.026928,            0.018599,           0.0013764,             0.88534,             0.84129,             0.88476,             0.56218,            0.027285,            0.017357,           0.0017262,            0.007723,            0.007723,            0.007723
                  48,            0.026126,             0.01837,           0.0014745,             0.88442,             0.85722,             0.89272,             0.57878,             0.02546,            0.017149,           0.0022014,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026515,            0.019358,           0.0014478,             0.87645,             0.85707,             0.89207,              0.5708,            0.025061,            0.017396,           0.0023658,            0.007624,            0.007624,            0.007624
                  50,            0.026226,            0.019381,           0.0014034,             0.89334,              0.8212,             0.88718,             0.56712,            0.025551,            0.017313,           0.0024481,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026359,            0.019399,           0.0012482,              0.8769,             0.80684,             0.87525,             0.54729,             0.02628,            0.017617,           0.0031008,            0.007525,            0.007525,            0.007525
                  52,            0.025664,            0.018496,           0.0013659,             0.89004,             0.81915,             0.88746,             0.57132,            0.025051,            0.017451,           0.0030281,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025399,            0.020146,           0.0013355,             0.88346,             0.80034,             0.87075,             0.55558,             0.02524,            0.017323,           0.0028661,            0.007426,            0.007426,            0.007426
                  54,            0.025543,            0.019899,           0.0012072,             0.86698,             0.83485,             0.88514,             0.57564,            0.025034,            0.017133,           0.0023185,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025335,            0.018702,           0.0012257,             0.84004,             0.84074,             0.87785,             0.56495,            0.024643,            0.017169,           0.0023286,            0.007327,            0.007327,            0.007327
                  56,            0.024977,            0.019079,           0.0012677,              0.9054,             0.80373,             0.87335,             0.57179,            0.025037,            0.017138,           0.0022351,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024852,            0.018647,           0.0012415,              0.8732,             0.82276,             0.88205,             0.56322,            0.024215,            0.017332,           0.0025454,            0.007228,            0.007228,            0.007228
                  58,            0.024306,            0.018642,           0.0012048,             0.88057,             0.82499,             0.88398,              0.5708,            0.024333,            0.017022,           0.0023044,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024907,            0.017778,           0.0014156,             0.88283,             0.81526,             0.88113,             0.55789,            0.024824,            0.017236,           0.0030427,            0.007129,            0.007129,            0.007129
                  60,            0.023701,            0.017796,           0.0011119,             0.87825,             0.81108,             0.88233,              0.5662,            0.024422,             0.01742,           0.0026834,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024234,            0.018132,           0.0012135,             0.89078,             0.79197,             0.87765,             0.55649,            0.025358,             0.01756,           0.0020224,             0.00703,             0.00703,             0.00703
                  62,            0.025318,            0.019471,           0.0012264,             0.84488,             0.85107,             0.88502,             0.57222,            0.024494,            0.017349,           0.0020139,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025002,            0.019382,            0.001226,             0.87166,             0.81373,             0.88356,              0.5815,            0.024353,            0.017497,           0.0029902,            0.006931,            0.006931,            0.006931
                  64,            0.023975,            0.017384,           0.0011584,             0.89061,             0.78913,             0.87079,             0.55812,            0.023919,            0.017453,           0.0034592,           0.0068815,           0.0068815,           0.0068815
                  65,             0.02386,            0.017841,           0.0012538,             0.84155,             0.81399,             0.87178,             0.56537,             0.02421,            0.017531,           0.0039263,            0.006832,            0.006832,            0.006832
                  66,            0.023783,             0.01768,           0.0010506,             0.89627,             0.81936,             0.88109,             0.57612,            0.023743,            0.017611,           0.0035891,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023133,            0.017502,           0.0011279,             0.84799,             0.82692,             0.87839,             0.56344,            0.024938,            0.017965,           0.0021589,            0.006733,            0.006733,            0.006733
                  68,            0.023092,            0.018011,           0.0011218,             0.85941,             0.84928,             0.89505,             0.56794,            0.024704,            0.017897,           0.0023456,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02355,            0.018855,           0.0010225,             0.85977,             0.84957,             0.89778,             0.57803,            0.024231,             0.01747,           0.0023696,            0.006634,            0.006634,            0.006634
                  70,            0.022831,            0.017975,          0.00096453,             0.87852,             0.82132,             0.88689,             0.58732,            0.023591,            0.017437,           0.0023565,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023059,            0.017184,            0.000967,             0.84105,              0.8569,             0.88462,              0.5906,            0.023559,            0.017149,           0.0022297,            0.006535,            0.006535,            0.006535
                  72,            0.022325,            0.016843,           0.0011216,             0.88504,             0.80825,             0.87277,              0.5656,             0.02425,            0.018101,           0.0030895,           0.0064855,           0.0064855,           0.0064855
                  73,            0.022566,            0.018087,           0.0011147,             0.92549,             0.76706,             0.87557,              0.5672,            0.023456,            0.017381,           0.0026495,            0.006436,            0.006436,            0.006436
                  74,            0.023501,            0.018095,           0.0012229,              0.8519,             0.85369,             0.89104,             0.58564,            0.024531,            0.017747,           0.0020192,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022918,            0.017406,           0.0011558,             0.88793,             0.81794,              0.8835,             0.57467,            0.024067,            0.018069,           0.0027087,            0.006337,            0.006337,            0.006337
                  76,            0.021605,            0.017575,          0.00098898,             0.87792,              0.8257,             0.87551,             0.57331,             0.02375,            0.017227,           0.0025307,           0.0062875,           0.0062875,           0.0062875
                  77,            0.021454,            0.017363,          0.00096532,             0.83321,              0.8593,              0.8903,             0.58129,            0.023504,            0.017643,           0.0024055,            0.006238,            0.006238,            0.006238
                  78,              0.0212,            0.016726,          0.00084755,              0.8301,             0.85639,             0.88363,             0.58015,            0.023479,            0.017792,           0.0030351,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022393,            0.017894,          0.00089382,             0.87555,             0.81983,             0.88485,             0.57041,             0.02371,            0.018038,           0.0019478,            0.006139,            0.006139,            0.006139
                  80,            0.021409,            0.016388,          0.00090887,             0.87379,             0.83563,             0.87414,             0.57452,            0.024228,            0.018736,           0.0020837,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022173,            0.016714,          0.00088885,             0.88963,             0.82325,             0.88587,              0.5803,            0.023807,            0.017812,           0.0022161,             0.00604,             0.00604,             0.00604
                  82,            0.022006,             0.01785,           0.0008905,             0.86463,             0.83924,             0.88764,             0.57719,            0.024382,            0.018143,           0.0020423,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022052,            0.017435,           0.0010207,             0.89952,             0.81328,             0.89223,             0.59193,            0.023471,            0.017541,           0.0018932,            0.005941,            0.005941,            0.005941
                  84,            0.022016,            0.017159,          0.00098359,             0.92425,             0.80057,              0.8809,             0.58508,            0.023688,            0.017832,           0.0018552,           0.0058915,           0.0058915,           0.0058915
                  85,            0.021359,            0.017393,             0.00113,              0.8525,             0.84429,             0.88405,             0.57522,            0.023889,            0.017804,           0.0021505,            0.005842,            0.005842,            0.005842
                  86,            0.021293,            0.016965,          0.00087643,             0.89462,             0.82334,             0.88146,             0.56902,            0.024036,            0.018003,           0.0020805,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021019,            0.016642,          0.00088948,             0.90392,             0.81702,             0.87387,             0.57255,            0.023364,            0.017697,           0.0023935,            0.005743,            0.005743,            0.005743
                  88,             0.02094,            0.016224,          0.00089453,             0.88922,             0.82218,             0.88756,             0.58538,             0.02365,            0.017914,           0.0019611,           0.0056935,           0.0056935,           0.0056935
                  89,            0.020601,            0.016861,          0.00088744,             0.86814,             0.83923,             0.88039,             0.58086,            0.023759,            0.018076,           0.0018323,            0.005644,            0.005644,            0.005644
